change_month,nonbundle_addons,account_code
11/1/21,nbalp,1462
11/1/21,portuguese,1087
11/1/21,premiere,818
11/1/21,raiitalia,1462
11/1/21,showtime,4296
11/1/21,sports-lite,4158
11/1/21,starz,2217
11/1/21,starz-epix-showtime,7847
11/1/21,third-screen,10073
11/1/21,tv5-monde,739
11/1/21,unlimited-screen-home,15996
12/1/21,advanced-dvr,5975
12/1/21,advanced-dvr-1000,5932
12/1/21,advanced-dvr-250,41634
12/1/21,adventure,9084
12/1/21,amc-premiere,2962
12/1/21,cycling,15
12/1/21,deportes,123693
12/1/21,entertainment,1163
12/1/21,entertainment-preview,10
12/1/21,entertainment-v2,526
12/1/21,epix,967
12/1/21,extra,503
12/1/21,fubo-extra-lite,29383
12/1/21,fubo-extra-lite-preview,8
12/1/21,intl-sports-plus,15545
12/1/21,latino,2074
12/1/21,mundo,125
12/1/21,music,1
12/1/21,nbalp,2011
12/1/21,portuguese,1091
12/1/21,premiere,761
12/1/21,raiitalia,1469
12/1/21,showtime,4373
12/1/21,sports-lite,3512
12/1/21,starz,2168
12/1/21,starz-epix-showtime,8146
12/1/21,third-screen,9393
12/1/21,tv5-monde,733
12/1/21,unlimited-screen-home,15552
1/1/22,advanced-dvr,5723
1/1/22,advanced-dvr-1000,5830
1/1/22,advanced-dvr-250,40056
1/1/22,adventure,9938
1/1/22,amc-premiere,2948
1/1/22,cycling,14
1/1/22,deportes,123698
1/1/22,entertainment,1121
1/1/22,entertainment-preview,8
1/1/22,entertainment-v2,510
1/1/22,epix,944
1/1/22,extra,491
1/1/22,fubo-extra-lite,30304
1/1/22,fubo-extra-lite-preview,10
1/1/22,intl-sports-plus,15576
1/1/22,latino,2068
1/1/22,mundo,121
1/1/22,music,1
1/1/22,nbalp,2729
1/1/22,news-plus,3519
1/1/22,portuguese,1108
1/1/22,premiere,774
1/1/22,raiitalia,1435
1/1/22,showtime,4500
1/1/22,sports-lite,3526
1/1/22,starz,2183
1/1/22,starz-epix-showtime,8253
1/1/22,third-screen,6829
1/1/22,tv5-monde,722
1/1/22,unlimited-screen-home,15105
2/1/22,advanced-dvr,5482
2/1/22,advanced-dvr-1000,7365
2/1/22,advanced-dvr-250,38310
2/1/22,adventure,9936
2/1/22,amc-premiere,2885
2/1/22,cycling,14
2/1/22,deportes,106807
2/1/22,entertainment,1063
2/1/22,entertainment-preview,4
2/1/22,entertainment-v2,510
2/1/22,epix,913
2/1/22,extra,466
2/1/22,fubo-extra-lite,29508
2/1/22,fubo-extra-lite-preview,11
2/1/22,intl-sports-plus,16046
2/1/22,latino,2151
2/1/22,mundo,117
2/1/22,music,1
2/1/22,nbalp,3234
2/1/22,news-plus,14567
2/1/22,portuguese,1173
2/1/22,premiere,757
2/1/22,raiitalia,1466
2/1/22,showtime,4257
2/1/22,sports-lite,3416
2/1/22,starz,2212
2/1/22,starz-epix-showtime,7904
2/1/22,third-screen,3675
2/1/22,tv5-monde,765
2/1/22,unlimited-screen-home,15985
3/1/22,advanced-dvr,5249
3/1/22,advanced-dvr-1000,8817
3/1/22,advanced-dvr-250,36347
3/1/22,adventure,9874
3/1/22,amc-premiere,2820
3/1/22,cycling,13
3/1/22,deportes,86405
3/1/22,entertainment,1034
3/1/22,entertainment-preview,5
3/1/22,entertainment-v2,505
3/1/22,epix,890
3/1/22,extra,463
3/1/22,fubo-extra-lite,31514
