change_month,new_addition,account_code
2021-09-01,raiitalia,1831
2021-09-01,rsn-fee,147219
2021-09-01,showtime,4769
2021-09-01,showtime-preview,16
2021-09-01,spanish,265
2021-09-01,sports-lite,1593
2021-09-01,starz,2193
2021-09-01,starz-epix-showtime,7024
2021-09-01,third-screen,22156
2021-09-01,tv5-monde,873
2021-09-01,unlimited-screen-home,17324
2021-10-01,,768395
2021-10-01, ,9926
2021-10-01,advanced-dvr,15382
2021-10-01,advanced-dvr-1000,8704
2021-10-01,advanced-dvr-250,54629
2021-10-01,adventure,8975
2021-10-01,amc-premiere,3517
2021-10-01,cycling,52
2021-10-01,deportes,121556
2021-10-01,english,30
2021-10-01,entertainment,1652
2021-10-01,entertainment-preview,47
2021-10-01,entertainment-v2,780
2021-10-01,epix,1196
2021-10-01,extra,649
2021-10-01,fubo-extra-lite,32758
2021-10-01,fubo-extra-lite-preview,73
2021-10-01,intl-sports-plus,17267
2021-10-01,latino,2559
2021-10-01,lifestyle,99
2021-10-01,mundo,302
2021-10-01,music,1
2021-10-01,nbalp,670
2021-10-01,portuguese,1416
2021-10-01,portuguese_plus,104
2021-10-01,premiere,946
2021-10-01,raiitalia,1789
2021-10-01,rsn-fee,186360
2021-10-01,showtime,4757
2021-10-01,showtime-preview,2
2021-10-01,spanish,255
2021-10-01,sports-lite,4201
2021-10-01,starz,2313
2021-10-01,starz-epix-showtime,7817
2021-10-01,third-screen,23683
2021-10-01,tv5-monde,918
2021-10-01,unlimited-screen-home,18815
2021-11-01,,777538
2021-11-01, ,9512
2021-11-01,advanced-dvr,14693
2021-11-01,advanced-dvr-1000,8901
2021-11-01,advanced-dvr-250,52620
2021-11-01,adventure,9175
2021-11-01,amc-premiere,3457
2021-11-01,cycling,57
2021-11-01,deportes,124942
2021-11-01,english,29
2021-11-01,entertainment,1563
2021-11-01,entertainment-preview,25
2021-11-01,entertainment-v2,725
2021-11-01,epix,1108
2021-11-01,extra,597
2021-11-01,fubo-extra-lite,32874
2021-11-01,fubo-extra-lite-preview,26
2021-11-01,intl-sports-plus,17468
2021-11-01,latino,2550
2021-11-01,lifestyle,97
2021-11-01,mundo,310
2021-11-01,music,1
2021-11-01,nbalp,1576
2021-11-01,portuguese,1420
2021-11-01,portuguese_plus,104
2021-11-01,premiere,915
2021-11-01,raiitalia,1779
2021-11-01,rsn-fee,242995
2021-11-01,showtime,5294
2021-11-01,spanish,250
2021-11-01,sports-lite,4269
2021-11-01,starz,2333
2021-11-01,starz-epix-showtime,8213
2021-11-01,third-screen,24230
2021-11-01,tv5-monde,925
2021-11-01,unlimited-screen-home,18985
2021-12-01,,768820
2021-12-01, ,9161
2021-12-01,advanced-dvr,14160
2021-12-01,advanced-dvr-1000,9528
2021-12-01,advanced-dvr-250,51968
2021-12-01,adventure,9506
2021-12-01,amc-premiere,3346
2021-12-01,cycling,56
2021-12-01,deportes,127013
2021-12-01,english,29
2021-12-01,entertainment,1488
2021-12-01,entertainment-preview,13
2021-12-01,entertainment-v2,663
2021-12-01,epix,1073
2021-12-01,extra,572
2021-12-01,fubo-extra-lite,32444
2021-12-01,fubo-extra-lite-preview,12
2021-12-01,intl-sports-plus,16445
2021-12-01,latino,2477
2021-12-01,lifestyle,96
